Crop,Growth_Conditions,Diseases,Fertilizer,Pesticides
Arecanut,"Ideal temperature: 25-30°C, Water requirement: 2000-3000 mm annually, Soil type: Well-drained loamy soil.","['Leaf Spot', 'Black Speck']","NPK, Organic manure recommended.","Chlorpyrifos, Endosulfan."
Arhar/Tur,"Ideal temperature: 25-30°C, Water requirement: 500-800 mm annually, Soil type: Loamy soil.","['Powdery Mildew', 'Stem Rot']","Urea, DAP recommended.","Chlorpyrifos, Carbendazim."
Castor seed,"Ideal temperature: 25-35°C, Water requirement: 500-700 mm annually, Soil type: Well-drained sandy loam.","['Root Rot', 'Leaf Spot']","Urea, DAP, MOP recommended.","Imidacloprid, Malathion."
Coconut,"Ideal temperature: 25-30°C, Water requirement: 1500-2500 mm annually, Soil type: Well-drained sandy loam.","['Coconut Root Wilt', 'Leaf Rot']","NPK, Organic manure recommended.","Endosulfan, Imidacloprid."
Cotton(lint),"Ideal temperature: 25-35°C, Water requirement: 500-800 mm annually, Soil type: Well-drained sandy loam.","['Cotton Leaf Curl Virus', 'Root Rot']","Urea, DAP, MOP, Zinc Sulfate recommended.","Imidacloprid, Acephate."
Dry chillies,"Ideal temperature: 20-30°C, Water requirement: 500-700 mm annually, Soil type: Well-drained loamy soil.","['Chili Wilt', 'Powdery Mildew']","Urea, DAP, Potash recommended.","Endosulfan, Imidacloprid."
Gram,"Ideal temperature: 15-25°C, Water requirement: 400-600 mm annually, Soil type: Well-drained loamy soil.","['Wilt', 'Rust']","Urea, DAP recommended.","Chlorpyrifos, Imidacloprid."
Jute,"Ideal temperature: 25-35°C, Water requirement: 1200-1500 mm annually, Soil type: Well-drained clay loam.","['Jute Moth', 'Jute Damping Off']","Urea, DAP recommended.","Imidacloprid, Malathion."
Linseed,"Ideal temperature: 15-25°C, Water requirement: 400-500 mm annually, Soil type: Well-drained loamy soil.","['Powdery Mildew', 'Rust']","Urea, DAP recommended.","Mancozeb, Thiophanate methyl."
Maize,"Ideal temperature: 20-30°C, Water requirement: 500-800 mm annually, Soil type: Well-drained sandy loam.","['Turcicum Leaf Blight', 'Maize Weevil']","Urea, DAP, MOP recommended.","Chlorpyrifos, Lambda-cyhalothrin."
Mesta,"Ideal temperature: 25-35°C, Water requirement: 1200-1500 mm annually, Soil type: Well-drained clay loam.","['Mesta Yellowing Disease', 'Mesta Wilt']","NPK, Organic manure recommended.","Endosulfan, Imidacloprid."
Niger seed,"Ideal temperature: 20-30°C, Water requirement: 500-700 mm annually, Soil type: Well-drained sandy loam.","['Downy Mildew', 'Aphids']","Urea, DAP recommended.","Imidacloprid, Endosulfan."
Onion,"Ideal temperature: 13-25°C, Water requirement: 500-700 mm annually, Soil type: Well-drained sandy loam.","['Downy Mildew', 'Thrips']","Urea, DAP, MOP recommended.","Chlorpyrifos, Imidacloprid."
